Date,Product,Sales,Waste,Make,temp,rain,days,weather,wind,body_temp,hum,upset,dust,holiday,pop,search,a,b,c,Waste+난수,Make+난수,난수값,,,
01_05,5종 스콘,18,0,18,4.1,0,Fri,박무,1.7,5.060365164,79.4,41.489646,43,0,180637.0843,24,,,,0,18,0,,,
01_05,레몬 마들렌,1,0,1,4.1,0,Fri,박무,1.7,5.060365164,79.4,41.489646,43,0,180637.0843,24,,,,1,2,1,,,
01_05,르뱅 3종,3,0,3,4.1,0,Fri,박무,1.7,5.060365164,79.4,41.489646,43,0,180637.0843,24,,,,0,3,0,,,
01_05,무화과 쿠키,0,0,0,4.1,0,Fri,박무,1.7,5.060365164,79.4,41.489646,43,0,180637.0843,24,,,,2,2,2,,,
01_06,올리브 치아바타,0,0,0,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,2,2,2,,,
01_06,감자 치아바타,0,0,0,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,1,1,1,,,
01_06,소금빵,32,2,34,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,2,34,0,,,
01_06,갈레트 부르통,2,0,2,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,2,4,2,,,
01_06,통밀 비스코티,3,0,3,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,1,4,1,,,
01_06,5종 스콘,20,0,20,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,1,21,1,,,
01_06,레몬 마들렌,4,0,4,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,1,5,1,,,
01_06,르뱅 3종,4,0,4,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,0,4,0,,,
01_06,무화과 쿠키,2,1,3,0.4,0.6,Sat,비,1.6,1.281585452,67.5,37.2388,68,1,110419.0768,30,,,,1,3,0,,,
01_07,올리브 치아바타,0,0,0,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,2,2,2,,,
01_07,감자 치아바타,0,0,0,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,0,0,0,,,
01_07,소금빵,30,1,31,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,1,31,0,,,
01_07,갈레트 부르통,3,0,3,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,2,5,2,,,
01_07,통밀 비스코티,3,0,3,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,2,5,2,,,
01_07,5종 스콘,24,0,24,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,1,25,1,,,
01_07,레몬 마들렌,5,0,5,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,1,6,1,,,
01_07,르뱅 3종,5,0,5,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,0,5,0,,,
01_07,무화과 쿠키,3,0,3,-4.1,0,Sun,맑음,3,-4.92121729,55.6,32.771396,98,1,128614.024,40,,,,1,4,1,,,
01_08,올리브 치아바타,6,0,6,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,7,1,,,
01_08,감자 치아바타,8,1,9,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,9,0,,,
01_08,소금빵,22,2,24,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,4,26,2,,,
01_08,갈레트 부르통,1,0,1,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,2,1,,,
01_08,통밀 비스코티,2,0,2,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,3,1,,,
01_08,5종 스콘,18,0,18,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,19,1,,,
